SAMPLING DATE,SO2 µg/m3,NO2 µg/m3,PM10 µg/m3,PM2.5 µg/m3,AQI,City
2017-04-04,4.0,14.0,46.0,11.0,46.0,Vasco
2017-04-06,4.0,14.0,149.0,11.0,133.0,Vasco
2017-04-11,5.0,14.0,144.0,11.0,129.0,Vasco
2017-04-13,9.0,14.0,75.0,11.0,75.0,Vasco
2017-04-18,9.0,9.0,90.0,11.0,90.0,Vasco
2017-04-20,9.0,14.0,113.0,11.0,109.0,Vasco
2017-04-25,9.0,14.0,82.0,11.0,82.0,Vasco
2017-04-27,9.0,14.0,68.0,11.0,68.0,Vasco
2017-05-02,9.0,14.0,106.0,11.0,104.0,Vasco
2017-05-04,9.0,14.0,261.0,11.0,167.0,Vasco
2017-05-09,9.0,14.0,113.0,11.0,109.0,Vasco
2017-05-11,9.0,14.0,153.0,11.0,135.0,Vasco
2017-05-16,5.0,12.0,105.0,11.0,104.0,Vasco
2017-05-18,5.0,11.0,59.0,11.0,59.0,Vasco
2017-05-23,5.0,14.0,41.0,11.0,41.0,Vasco
2017-05-25,9.0,14.0,96.0,11.0,96.0,Vasco
2017-05-30,9.0,14.0,160.0,11.0,114.0,Vasco
2017-06-01,4.0,9.0,92.0,11.0,92.0,Vasco
2017-06-06,9.0,12.0,69.0,11.0,69.0,Vasco
2017-06-13,9.0,21.0,99.0,11.0,99.0,Vasco
2017-06-15,5.0,18.0,61.0,11.0,61.0,Vasco
2017-06-20,9.0,14.0,36.0,11.0,36.0,Vasco
2017-06-22,6.0,14.0,86.0,11.0,86.0,Vasco
2017-06-29,6.0,12.0,43.0,11.0,43.0,Vasco
2017-07-04,9.0,9.0,28.0,11.0,28.0,Vasco
2017-07-06,7.0,13.0,63.0,11.0,63.0,Vasco
2017-07-11,8.0,14.0,31.0,11.0,31.0,Vasco
2017-07-13,8.0,16.0,122.0,11.0,115.0,Vasco
2017-07-25,7.0,18.0,103.0,11.0,102.0,Vasco
2017-07-27,4.0,9.0,85.0,11.0,85.0,Vasco
2017-08-01,8.0,20.0,221.0,11.0,180.0,Vasco
2017-08-03,5.0,19.0,67.0,11.0,67.0,Vasco
2017-08-08,10.0,26.0,41.0,11.0,41.0,Vasco
2017-08-14,12.0,18.0,28.0,11.0,28.0,Vasco
2017-08-17,8.0,10.0,99.0,11.0,99.0,Vasco
2017-08-22,4.0,14.0,56.0,11.0,56.0,Vasco
2017-09-05,8.0,19.0,37.0,11.0,37.0,Vasco
2017-09-07,7.0,11.0,35.0,11.0,35.0,Vasco
2017-08-12,6.0,13.0,53.0,11.0,53.0,Vasco
2017-08-14,2.0,8.0,117.0,11.0,112.0,Vasco
2017-08-21,3.0,11.0,20.0,11.0,20.0,Vasco
2017-08-26,7.0,22.0,41.0,11.0,41.0,Vasco
2017-08-28,2.0,12.0,49.0,11.0,49.0,Vasco
2017-10-03,5.0,6.0,42.0,11.0,42.0,Vasco
2017-10-05,3.0,14.0,46.0,11.0,46.0,Vasco
2017-10-10,3.0,17.0,39.0,11.0,39.0,Vasco
2017-10-12,0.0,18.0,13.0,11.0,23.0,Vasco
2017-10-17,4.0,14.0,52.0,11.0,52.0,Vasco
2017-10-19,1.0,12.0,96.0,11.0,96.0,Vasco
2017-10-24,2.0,11.0,51.0,11.0,51.0,Vasco
2017-10-26,2.0,16.0,34.0,11.0,34.0,Vasco
2017-10-31,4.0,13.0,53.0,11.0,53.0,Vasco
2017-11-02,9.0,17.0,98.0,11.0,98.0,Vasco
2017-11-07,9.0,14.0,115.0,11.0,110.0,Vasco
2017-11-09,9.0,13.0,84.0,36.0,84.0,Vasco
2017-11-14,9.0,9.0,146.0,64.0,131.0,Vasco
2017-11-16,9.0,10.0,244.0,75.0,195.0,Vasco
2017-11-21,4.0,12.0,84.0,45.0,94.0,Vasco
2017-11-23,9.0,9.0,38.0,11.0,38.0,Vasco
2017-11-28,9.0,22.0,93.0,11.0,93.0,Vasco
2017-11-30,6.0,14.0,83.0,11.0,83.0,Vasco
2017-12-05,7.0,12.0,60.0,11.0,60.0,Vasco
2017-12-07,4.0,17.0,65.0,11.0,65.0,Vasco
2017-12-12,3.0,13.0,72.0,11.0,82.0,Vasco
2017-12-14,6.0,8.0,61.0,11.0,81.0,Vasco
2017-12-20,5.0,21.0,182.0,11.0,155.0,Vasco
2017-12-22,2.0,5.0,197.0,11.0,165.0,Vasco
2017-12-26,2.0,6.0,84.0,11.0,84.0,Vasco
2017-12-28,2.0,8.0,132.0,11.0,121.0,Vasco
2018-01-02,4.0,20.0,197.0,11.0,164.0,Vasco
2018-01-04,9.0,14.0,51.0,11.0,69.0,Vasco
2018-01-09,8.0,14.0,79.0,11.0,79.0,Vasco
2018-01-11,5.0,14.0,112.0,11.0,108.0,Vasco
2018-01-17,5.0,15.0,98.0,11.0,98.0,Vasco
2018-01-19,9.0,19.0,98.0,11.0,98.0,Vasco
2018-01-24,13.0,17.0,66.0,11.0,66.0,Vasco
,5.0,14.0,125.0,11.0,117.0,Vasco
2018-02-02,9.0,14.0,104.0,11.0,103.0,Vasco
2018-02-07,9.0,14.0,94.0,11.0,94.0,Vasco
2018-02-09,9.0,10.0,69.0,11.0,69.0,Vasco
2018-02-14,9.0,14.0,61.0,11.0,61.0,Vasco
2018-02-16,15.0,15.0,144.0,11.0,129.0,Vasco
2018-02-21,9.0,13.0,88.0,11.0,88.0,Vasco
2018-02-23,4.0,16.0,76.0,11.0,76.0,Vasco
2018-02-28,6.0,14.0,98.0,11.0,98.0,Vasco
2018-03-07,9.0,15.0,73.0,11.0,73.0,Vasco
2018-03-09,5.0,14.0,55.0,11.0,55.0,Vasco
2018-03-14,9.0,15.0,100.0,11.0,100.0,Vasco
2018-03-16,9.0,18.0,297.0,11.0,247.0,Vasco
2018-03-21,17.0,12.0,57.0,11.0,57.0,Vasco
2018-03-23,5.0,14.0,201.0,11.0,167.0,Vasco
2018-03-28,9.0,14.0,75.0,11.0,75.0,Vasco
2018-04-04,9.0,14.0,58.0,11.0,58.0,Vasco
2018-04-06,9.0,14.0,75.0,11.0,75.0,Vasco
2018-04-11,4.0,9.0,78.0,11.0,78.0,Vasco
2018-04-13,9.0,14.0,46.0,11.0,46.0,Vasco
2018-04-18,4.0,14.0,178.0,11.0,152.0,Vasco
2018-04-20,9.0,14.0,62.0,11.0,62.0,Vasco
2018-04-25,9.0,14.0,52.0,11.0,52.0,Vasco
2018-04-27,14.0,14.0,41.0,11.0,41.0,Vasco
2018-05-20,9.0,14.0,54.0,11.0,54.0,Vasco
2018-05-04,4.0,14.0,32.0,11.0,32.0,Vasco
