SAMPLING DATE,SO2 µg/m3,NO2 µg/m3,PM10 µg/m3,PM2.5 µg/m3,AQI,City
2017-04-04,2.0,11.0,122.0,23.0,122.0,Mapusa
2017-06-04,2.0,11.0,108.0,23.0,108.0,Mapusa
2017-11-04,2.0,11.0,78.0,23.0,78.0,Mapusa
2017-04-13,2.0,11.0,105.0,23.0,104.0,Mapusa
2017-04-18,11.0,11.0,46.0,23.0,46.0,Mapusa
2017-04-20,12.0,11.0,50.0,23.0,50.0,Mapusa
2017-04-25,2.0,11.0,92.0,23.0,92.0,Mapusa
2017-04-27,12.0,11.0,78.0,23.0,78.0,Mapusa
2017-02-05,2.0,11.0,124.0,23.0,124.0,Mapusa
2017-04-05,2.0,11.0,65.0,23.0,65.0,Mapusa
2017-09-05,2.0,11.0,66.0,23.0,66.0,Mapusa
2017-11-05,2.0,11.0,58.0,23.0,58.0,Mapusa
2017-05-17,10.0,11.0,66.0,23.0,66.0,Mapusa
2017-05-19,13.0,11.0,65.0,23.0,65.0,Mapusa
2017-05-24,2.0,11.0,59.0,23.0,59.0,Mapusa
2017-05-26,14.0,10.0,53.0,23.0,53.0,Mapusa
2017-05-31,2.0,11.0,55.0,23.0,57.0,Mapusa
2017-02-06,2.0,7.0,33.0,23.0,33.0,Mapusa
2017-06-06,13.0,11.0,37.0,23.0,37.0,Mapusa
2017-08-06,2.0,11.0,55.0,23.0,57.0,Mapusa
2017-06-13,13.0,5.0,75.0,23.0,75.0,Mapusa
2017-06-15,2.0,11.0,27.0,23.0,27.0,Mapusa
2017-06-20,2.0,14.0,25.0,23.0,25.0,Mapusa
2017-06-22,14.0,11.0,20.0,23.0,20.0,Mapusa
2017-06-27,2.0,11.0,15.0,23.0,15.0,Mapusa
2017-06-29,2.0,28.0,75.0,23.0,75.0,Mapusa
2017-04-07,2.0,11.0,32.0,23.0,32.0,Mapusa
2017-06-07,2.0,11.0,29.0,23.0,29.0,Mapusa
2017-11-07,15.0,11.0,19.0,23.0,19.0,Mapusa
2017-07-13,13.0,11.0,13.0,23.0,16.3,Mapusa
2017-07-18,2.0,11.0,55.0,23.0,57.0,Mapusa
2017-07-20,2.0,11.0,28.0,23.0,28.0,Mapusa
2017-07-25,2.0,11.0,31.0,23.0,31.0,Mapusa
2017-07-27,2.0,11.0,55.0,23.0,57.0,Mapusa
2017-01-08,13.0,11.0,34.0,23.0,34.0,Mapusa
2017-08-08,8.0,10.0,42.0,23.0,42.0,Mapusa
2017-10-08,11.0,11.0,5.0,23.0,14.0,Mapusa
2017-08-16,9.0,14.0,47.0,23.0,47.0,Mapusa
2017-08-18,27.0,10.0,43.0,23.0,43.0,Mapusa
2017-08-21,22.0,9.0,40.0,23.0,40.0,Mapusa
2017-08-23,10.0,11.0,51.0,23.0,51.0,Mapusa
2017-08-29,2.0,11.0,32.0,23.0,32.0,Mapusa
2017-08-31,2.0,23.0,77.0,23.0,77.0,Mapusa
2017-05-09,32.0,11.0,68.0,23.0,68.0,Mapusa
2017-07-09,52.0,11.0,37.0,23.0,65.0,Mapusa
2017-12-09,11.0,11.0,38.0,23.0,38.0,Mapusa
2017-09-14,10.0,11.0,35.0,23.0,35.0,Mapusa
2017-09-19,7.0,15.0,8.0,23.0,19.0,Mapusa
2017-09-21,11.0,11.0,33.0,23.0,33.0,Mapusa
2017-09-26,10.0,11.0,51.0,23.0,51.0,Mapusa
2017-09-28,9.0,11.0,37.0,23.0,37.0,Mapusa
2017-03-10,4.0,12.0,49.6,23.0,50.0,Mapusa
2017-05-10,2.0,11.0,61.7,23.0,62.0,Mapusa
2017-10-10,2.0,11.0,30.4,23.0,30.0,Mapusa
2017-12-10,2.0,11.0,42.0,23.0,42.0,Mapusa
2017-10-16,2.0,11.0,26.9,23.0,27.0,Mapusa
2017-10-19,2.0,11.0,88.3,23.0,88.0,Mapusa
2017-10-24,2.0,11.0,72.9,23.0,73.0,Mapusa
2017-10-26,2.0,11.0,49.6,23.0,50.0,Mapusa
2017-10-31,2.0,11.0,55.0,23.0,57.0,Mapusa
2017-02-11,2.0,11.0,223.0,23.0,182.0,Mapusa
2017-07-11,2.0,11.0,110.0,23.0,107.0,Mapusa
2017-09-11,2.0,11.0,120.0,23.0,114.0,Mapusa
2017-11-14,2.0,10.0,138.0,23.0,125.0,Mapusa
2017-11-16,2.0,11.0,132.0,23.0,121.0,Mapusa
2017-11-21,2.0,11.0,62.0,23.0,62.0,Mapusa
2017-11-23,2.0,11.0,101.0,23.0,101.0,Mapusa
2017-11-28,2.0,11.0,60.0,23.0,60.0,Mapusa
2017-11-30,2.0,11.0,87.0,23.0,87.0,Mapusa
2017-02-12,5.0,10.0,28.0,23.0,28.0,Mapusa
2017-07-12,5.0,12.0,39.0,23.0,39.0,Mapusa
2017-12-12,5.0,9.0,68.0,23.0,68.0,Mapusa
2017-12-14,5.0,9.0,27.0,23.0,27.0,Mapusa
2017-12-18,5.0,27.0,95.0,23.0,95.0,Mapusa
2017-12-21,5.0,23.0,131.0,23.0,121.0,Mapusa
2017-12-26,5.0,24.0,111.0,23.0,108.0,Mapusa
2017-12-28,9.0,22.0,141.0,23.0,127.0,Mapusa
2018-02-01,6.0,36.0,84.0,23.0,84.0,Mapusa
2018-04-01,20.0,9.0,100.0,23.0,100.0,Mapusa
2018-09-01,12.0,11.0,150.0,23.0,133.0,Mapusa
2018-11-01,4.0,11.0,118.0,23.0,112.0,Mapusa
2018-01-16,4.0,11.0,130.0,23.0,120.0,Mapusa
2018-01-18,2.0,11.0,118.0,23.0,112.0,Mapusa
2018-01-23,2.0,23.0,100.0,23.0,100.0,Mapusa
2018-01-25,2.0,11.0,66.0,23.0,66.0,Mapusa
