SAMPLING DATE,SO2 µg/m3,NO2 µg/m3,PM10 µg/m3,PM2.5 µg/m3,AQI,City
2017-05-04,,13.0,55.0,43.0,55.0,Panaji
2017-07-04,,,198.0,45.0,165.0,Panaji
2017-10-04,,,115.0,37.0,110.0,Panaji
2017-12-04,4.0,,195.0,21.0,163.0,Panaji
2017-04-19,,,178.0,22.0,152.0,Panaji
2017-04-21,,,57.0,18.0,57.0,Panaji
2017-04-26,,,212.0,58.0,174.0,Panaji
2017-04-28,5.0,18.0,80.0,79.0,80.0,Panaji
2017-03-05,,10.0,102.0,33.0,102.0,Panaji
2017-05-05,,,271.0,17.0,221.0,Panaji
2017-10-05,,,101.0,9.0,101.0,Panaji
2017-12-05,,10.0,180.0,,153.0,Panaji
2017-05-17,,14.0,361.0,,314.0,Panaji
2017-05-19,6.0,16.0,37.0,,37.0,Panaji
2017-05-24,,,67.0,,67.0,Panaji
2017-05-26,,17.0,165.0,65.0,143.0,Panaji
2017-02-06,,10.0,73.0,,73.0,Panaji
2017-07-06,,10.0,34.0,,34.0,Panaji
2017-09-06,,,84.0,,84.0,Panaji
2017-06-14,7.0,13.0,45.0,,45.0,Panaji
2017-06-21,5.0,19.0,20.0,,24.0,Panaji
2017-06-23,5.0,,189.0,,159.0,Panaji
2017-06-28,5.0,12.0,37.0,,37.0,Panaji
2017-06-30,6.0,,64.0,,64.0,Panaji
2017-05-07,4.0,9.0,150.0,,133.0,Panaji
2017-07-07,8.0,18.0,55.0,,55.0,Panaji
2017-12-07,9.0,24.0,34.0,,34.0,Panaji
2017-07-14,9.0,12.0,56.0,,56.0,Panaji
2017-07-21,,,43.0,,43.0,Panaji
2017-07-26,6.0,12.0,39.0,,39.0,Panaji
2017-07-28,,,143.0,,129.0,Panaji
2017-02-08,9.0,,148.0,,132.0,Panaji
2017-04-08,4.0,11.0,130.0,,120.0,Panaji
2017-09-08,10.0,10.0,19.0,,19.0,Panaji
2017-11-08,11.0,10.0,43.0,,43.0,Panaji
2017-08-16,15.0,12.0,67.0,,67.0,Panaji
2017-08-18,13.0,24.0,34.0,,34.0,Panaji
2017-08-21,14.0,37.0,59.0,,59.0,Panaji
2017-08-30,6.0,35.0,72.0,,72.0,Panaji
2017-01-09,6.0,,38.0,,38.0,Panaji
2017-06-09,8.0,13.0,202.0,,168.0,Panaji
2017-08-09,4.0,,77.0,,77.0,Panaji
2017-09-15,,,31.0,,31.0,Panaji
2017-09-20,6.0,27.0,28.0,,34.0,Panaji
2017-09-22,5.0,22.0,74.0,,74.0,Panaji
2017-09-27,6.0,18.0,49.0,,49.0,Panaji
2017-09-29,,18.0,34.0,,34.0,Panaji
2017-04-10,5.0,16.0,220.0,,180.0,Panaji
2017-06-10,4.0,18.0,46.0,,46.0,Panaji
2017-11-10,,21.0,41.0,,41.0,Panaji
2017-10-16,,12.0,25.0,,25.0,Panaji
2017-10-19,,20.0,115.0,81.0,110.0,Panaji
2017-10-25,,35.0,33.0,,33.0,Panaji
2017-10-27,,17.0,68.0,,68.0,Panaji
2017-01-11,,10.0,87.0,,87.0,Panaji
2017-03-11,,,79.0,,79.0,Panaji
2017-08-11,,21.0,71.0,,71.0,Panaji
2017-10-11,,17.0,32.0,,32.0,Panaji
2017-11-15,4.0,17.0,101.0,72.0,101.0,Panaji
2017-11-17,,15.0,95.0,64.0,95.0,Panaji
2017-11-22,,20.0,170.0,,170.0,Panaji
2017-11-24,,16.0,159.0,8.0,139.0,Panaji
2017-11-29,4.0,37.0,109.0,36.0,106.0,Panaji
2017-01-12,,33.0,85.0,10.0,85.0,Panaji
2017-06-12,,33.0,65.0,,65.0,Panaji
2017-08-12,4.0,25.0,66.0,,66.0,Panaji
2017-12-13,,14.0,69.0,,69.0,Panaji
2017-12-15,,19.0,80.0,,80.0,Panaji
2017-12-18,4.0,33.0,72.0,,72.0,Panaji
2017-12-21,4.0,34.0,57.0,,57.0,Panaji
2017-12-27,,36.0,86.0,,86.0,Panaji
2017-12-29,,31.0,214.0,,214.0,Panaji
2018-03-01,18.0,14.0,96.0,,96.0,Panaji
2018-05-01,17.0,13.0,106.0,,104.0,Panaji
2018-10-01,15.0,15.0,117.0,,112.0,Panaji
2018-12-01,,10.0,99.0,,99.0,Panaji
2018-01-17,,18.0,95.0,,95.0,Panaji
2018-01-19,9.0,14.0,84.0,,84.0,Panaji
2018-01-24,4.0,15.0,45.0,,45.0,Panaji
2018-01-30,6.0,11.0,124.0,,116.0,Panaji
2018-01-02,,13.0,106.0,,104.0,Panaji
2018-06-02,,18.0,108.0,,106.0,Panaji
2018-08-02,,20.0,64.0,,64.0,Panaji
2018-02-13,4.0,5.0,56.0,,56.0,Panaji
2018-02-15,4.0,25.0,43.0,,43.0,Panaji
2018-02-20,,24.0,79.0,,79.0,Panaji
2018-02-22,,15.0,89.0,,89.0,Panaji
2018-02-27,4.0,24.0,113.0,,109.0,Panaji
2018-01-03,,22.0,104.0,,103.0,Panaji
2018-06-03,5.0,9.0,64.0,,64.0,Panaji
2018-08-03,5.0,,88.0,,88.0,Panaji
2018-03-13,9.0,,95.0,,95.0,Panaji
2018-03-15,6.0,,111.0,,108.0,Panaji
2018-03-20,,14.0,80.0,,80.0,Panaji
2018-03-22,4.0,12.0,104.0,,103.0,Panaji
2018-03-27,4.0,,66.0,,66.0,Panaji
2018-03-29,5.0,12.0,68.0,,68.0,Panaji
2018-04-04,,,59.0,9.0,59.0,Panaji
2018-06-04,,,55.0,5.0,55.0,Panaji
2018-11-04,7.0,18.0,69.0,,69.0,Panaji
2018-04-13,,14.0,54.0,,54.0,Panaji
2018-04-18,5.0,10.0,51.0,3.0,51.0,Panaji
2018-04-20,9.0,18.0,60.0,,60.0,Panaji
2018-04-25,,11.0,50.0,,50.0,Panaji
2018-04-27,19.0,,78.0,12.0,78.0,Panaji
2018-02-05,9.0,,118.0,15.0,112.0,Panaji
2018-04-05,,10.0,47.0,15.0,47.0,Panaji
2018-09-05,5.0,,53.0,19.0,53.0,Panaji
2018-11-05,7.0,9.0,29.0,,29.0,Panaji
2018-05-16,10.0,12.0,67.0,6.0,67.0,Panaji
2018-05-18,5.0,,24.0,,24.0,Panaji
2018-05-23,,10.0,46.0,3.0,46.0,Panaji
2018-05-25,4.0,,45.0,4.0,45.0,Panaji
2018-05-30,4.0,,34.0,,34.0,Panaji
2018-01-06,,,34.0,,34.0,Panaji
2018-06-06,,14.0,32.0,,32.0,Panaji
2018-08-06,,13.0,12.0,,16.0,Panaji
2018-06-13,5.0,,85.0,,85.0,Panaji
2018-06-15,,,36.0,,36.0,Panaji
2018-06-22,11.0,,64.0,,64.0,Panaji
2018-06-27,15.0,12.0,44.0,,44.0,Panaji
2018-06-29,,21.0,25.0,,26.0,Panaji
2018-04-07,,,127.0,,118.0,Panaji
2018-06-07,,15.0,56.0,,56.0,Panaji
2018-07-13,,,84.0,,84.0,Panaji
2018-07-18,,13.0,62.0,,62.0,Panaji
2018-07-20,,,38.0,,38.0,Panaji
2018-07-25,,,74.0,,74.0,Panaji
2018-07-27,4.0,,50.0,,50.0,Panaji
2018-01-08,6.0,,121.0,,114.0,Panaji
2018-03-08,6.0,,134.0,,123.0,Panaji
2018-08-08,,,133.0,,122.0,Panaji
2018-10-08,4.0,,47.0,,47.0,Panaji
2018-08-24,,12.0,128.0,,119.0,Panaji
2018-08-29,,,33.0,,33.0,Panaji
2018-08-31,,,20.0,,20.0,Panaji
2018-05-09,,12.0,20.0,,20.0,Panaji
2018-07-09,,15.0,47.0,,47.0,Panaji
2018-12-09,,11.0,61.0,,61.0,Panaji
2018-09-18,,,49.0,,49.0,Panaji
2018-09-20,,11.0,61.0,,61.0,Panaji
2018-09-26,,10.0,19.0,,19.0,Panaji
2018-03-10,,,42.0,,42.0,Panaji
2018-05-10,,11.0,42.0,,42.0,Panaji
2018-10-10,,12.0,66.0,,66.0,Panaji
2018-12-10,,,107.0,,105.0,Panaji
2018-10-17,,,70.0,,70.0,Panaji
2018-10-19,,,117.0,,112.0,Panaji
2018-10-24,5.0,18.0,72.0,,72.0,Panaji
2018-10-26,5.0,29.0,118.0,,112.0,Panaji
2018-10-30,,13.0,76.0,,76.0,Panaji
2018-01-11,,14.0,128.0,,119.0,Panaji
2018-03-11,,,74.0,15.0,74.0,Panaji
2018-04-11,,12.0,278.0,106.0,228.0,Panaji
2018-05-11,,9.0,94.0,157.0,94.0,Panaji
2018-07-11,,20.0,77.0,48.0,77.0,Panaji
2018-09-11,,14.0,82.0,22.0,82.0,Panaji
2018-11-11,,21.0,79.0,48.0,79.0,Panaji
