SAMPLING DATE,SO2 µg/m3,NO2 µg/m3,PM10 µg/m3,PM2.5 µg/m3,AQI,City
2017-04-04,8.0,19.4,97.5,31.3,98.0,Ponda
2017-06-04,8.0,15.2,87.7,27.7,88.0,Ponda
2017-11-04,7.8,18.2,95.4,29.4,95.0,Ponda
2017-04-14,9.9,17.8,92.4,29.2,92.0,Ponda
2017-04-19,9.3,18.0,76.9,24.7,77.0,Ponda
2017-04-21,7.5,18.4,79.4,25.6,97.0,Ponda
2017-04-25,9.8,16.2,102.9,32.8,102.0,Ponda
2017-04-27,9.1,19.8,87.0,27.5,87.0,Ponda
2017-04-05,7.3,12.4,110.2,35.3,107.0,Ponda
2017-06-05,8.0,14.4,85.8,27.9,86.0,Ponda
2017-09-05,7.5,12.8,76.7,24.5,77.0,Ponda
2017-11-05,6.4,15.4,75.0,23.9,75.0,Ponda
2017-05-16,7.2,13.2,74.5,23.6,75.0,Ponda
2017-05-18,7.2,15.1,76.6,23.7,77.0,Ponda
2017-05-23,8.2,13.6,82.2,25.6,82.0,Ponda
2017-05-25,8.5,13.4,100.3,31.9,100.0,Ponda
2017-05-30,7.7,13.2,70.1,22.3,70.0,Ponda
2017-01-06,7.9,12.5,31.9,10.4,32.0,Ponda
2017-06-06,9.9,12.6,40.7,13.1,41.0,Ponda
2017-08-06,7.4,11.8,45.3,14.0,45.0,Ponda
2017-06-13,6.4,13.2,49.3,15.7,49.0,Ponda
2017-06-15,7.2,11.5,41.7,13.4,42.0,Ponda
2017-06-20,7.1,12.0,49.4,15.3,49.0,Ponda
2017-06-22,8.3,12.4,51.7,16.1,52.0,Ponda
2017-06-27,8.8,12.9,49.5,15.6,50.0,Ponda
2017-06-29,7.8,12.8,56.4,17.6,56.0,Ponda
2017-04-07,8.5,8.8,46.3,15.1,46.0,Ponda
2017-06-07,4.8,9.8,50.0,15.9,50.0,Ponda
2017-11-07,8.0,13.4,26.4,8.5,26.0,Ponda
2017-07-13,5.0,11.1,30.5,8.1,31.0,Ponda
2017-07-18,6.9,10.8,25.5,8.4,26.0,Ponda
2017-07-20,4.4,8.5,25.9,8.1,26.0,Ponda
2017-07-25,7.6,10.8,26.4,8.4,26.0,Ponda
2017-07-27,4.9,7.4,31.7,10.0,32.0,Ponda
2017-01-08,7.4,11.3,34.8,11.2,35.0,Ponda
2017-03-08,6.6,9.1,41.5,13.5,42.0,Ponda
2017-08-08,5.9,12.5,34.0,10.8,34.0,Ponda
2017-10-08,5.9,10.5,41.8,13.4,42.0,Ponda
2017-08-16,8.0,10.7,54.6,17.8,55.0,Ponda
2017-08-18,4.7,7.4,54.1,16.8,54.0,Ponda
2017-08-21,6.1,11.4,27.6,8.8,28.0,Ponda
2017-08-23,5.9,9.0,29.5,9.3,30.0,Ponda
2017-08-30,7.0,11.2,24.8,7.9,25.0,Ponda
2017-01-09,8.2,11.8,44.4,14.8,44.0,Ponda
2017-08-09,7.7,10.6,47.1,15.0,47.0,Ponda
2017-10-09,6.5,10.2,45.7,14.3,46.0,Ponda
2017-12-09,8.7,12.2,33.8,11.2,34.0,Ponda
2017-09-14,7.6,12.1,38.6,12.7,39.0,Ponda
2017-09-19,8.1,12.3,38.1,11.6,38.0,Ponda
2017-09-21,9.3,11.0,34.5,10.8,35.0,Ponda
2017-09-26,6.8,12.9,33.8,10.7,34.0,Ponda
2017-09-28,7.3,10.9,34.0,10.7,34.0,Ponda
2017-03-10,9.4,12.1,49.2,16.2,49.0,Ponda
2017-05-10,8.2,12.5,44.8,14.4,45.0,Ponda
2017-10-10,8.6,13.0,52.0,16.0,52.0,Ponda
2017-12-10,9.5,13.3,60.2,19.2,60.0,Ponda
2017-10-19,13.7,19.1,142.9,46.7,129.0,Ponda
2017-10-21,12.2,15.1,47.5,14.9,48.0,Ponda
2017-10-24,11.0,13.3,48.2,15.9,48.0,Ponda
2017-10-26,10.3,14.2,51.4,16.4,51.0,Ponda
2017-02-11,9.2,11.0,68.2,22.0,68.0,Ponda
2017-04-11,9.5,13.4,54.8,27.6,55.0,Ponda
2017-07-11,8.8,11.4,46.7,14.4,47.0,Ponda
2017-09-11,7.0,12.0,63.3,20.6,63.0,Ponda
2017-11-14,9.2,12.3,62.0,20.2,62.0,Ponda
