PONDA (APRIL 2017),,,,,,,,,,,
SAMPLING DATE,SO2 µg/m3,NO2 µg/m3,PM10 µg/m3 ,PM2.5 µg/m3 ,O3 µg/m3,Pb µg/m3,CO µg/m3,AQI,AQI REMARKS,FIELD OBSERVATIONS,
04.04.2017,8.0,19.4,97.5,31.3,1.5,<0.5,<0.01,98.0,SATISFACTORY,No unsual activity,
06.04.2017,8.0,15.2,87.7,27.7,<0.5,<0.5,<0.01,88.0,SATISFACTORY,No unsual activity,
11.04.2017,7.8,18.2,95.4,29.4,<0.5,<0.5,<0.01,95.0,SATISFACTORY,No unsual activity,
14.04.2017,9.9,17.8,92.4,29.2,1.3,<0.5,<0.01,92.0,SATISFACTORY,No unsual activity,
19.04.2017,9.3,18.0,76.9,24.7,<0.5,<0.5,<0.01,77.0,SATISFACTORY,No unsual activity,
21.04.2017,7.5,18.4,79.4,25.6,1.11,<0.5,<0.01,97.0,SATISFACTORY,No unsual activity,
25.04.2017,9.8,16.2,102.9,32.8,<0.5,<0.5,<0.01,102.0,MODERATELY POLLUTED,No unsual activity,
27.04.2017,9.1,19.8,87.0,27.5,1.13,<0.5,<0.01,87.0,SATISFACTORY,No unsual activity,
04.05.2017,7.3,12.4,110.2,35.3,1,<0.5,<0.01,107.0,MODERATELY POLLUTED,No unsual activity,
06.05.2017,8.0,14.4,85.8,27.9,<0.5,<0.5,<0.01,86.0,SATISFACTORY,No unsual activity,
09.05.2017,7.5,12.8,76.7,24.5,1.5,<0.5,<0.01,77.0,SATISFACTORY,No unsual activity,
11.05.2017,6.4,15.4,75.0,23.9,1.2,<0.5,<0.01,75.0,SATISFACTORY,No unsual activity,
16.05.2017,7.2,13.2,74.5,23.6,<0.5,<0.5,<0.01,75.0,SATISFACTORY,No unsual activity,
18.05.2017,7.2,15.1,76.6,23.7,0.8,<0.5,<0.01,77.0,SATISFACTORY,No unsual activity,
23.05.2017,8.2,13.6,82.2,25.6,<0.5,<0.5,<0.01,82.0,SATISFACTORY,No unsual activity,
25.05.2017,8.5,13.4,100.3,31.9,0.9,<0.5,<0.01,100.0,SATISFACTORY,No unsual activity,
30.05.2017,7.7,13.2,70.1,22.3,1.2,<0.5,<0.01,70.0,SATISFACTORY,No unsual activity,
01.06.2017,7.9,12.5,31.9,10.4,1, -,<0.01,32.0,GOOD,No unusual activity,
06.06.2017,9.9,12.6,40.7,13.1,<0.5, -,<0.01,41.0,GOOD,Rainfall observed;No unusual activity,
08.06.2017,7.4,11.8,45.3,14.0,1.5, -,<0.01,45.0,GOOD,Rainfall observed;No unusual activity,
13.06.2017,6.4,13.2,49.3,15.7,1.2, -,<0.01,49.0,GOOD,Rainfall observed;No unusual activity,
15.06.2017,7.2,11.5,41.7,13.4,<0.5, -,<0.01,42.0,GOOD,Rainfall observed;No unusual activity,
20.06.2017,7.1,12.0,49.4,15.3,0.8, -,<0.01,49.0,GOOD,Rainfall observed;No unusual activity,
22.06.2017,8.3,12.4,51.7,16.1,<0.5, -,<0.01,52.0,SATISFACTORY,Rainfall observed;No unusual activity,
27.06.2017,8.8,12.9,49.5,15.6,0.9, -,<0.01,50.0,GOOD,Rainfall observed;No unusual activity,
