SAMPLING DATE,SO2 µg/m3,NO2 µg/m3,PM10 µg/m3 ,pm2.5,AQI,AQI REMARKS
04042017,BDL,BDL,122,*,122,MODERATELY POLLUTED
06042017,BDL,BDL,108,*,108,MODERATELY POLLUTED
11042017,BDL,BDL,78,*,78,SATISFACTORY
13042017,BDL,BDL,105,*,104,MODERATELY POLLUTED
18042017,11,BDL,46,*,46,GOOD
20042017,12,BDL,50,*,50,GOOD
25042017,BDL,BDL,92,*,92,SATISFACTORY
27042017,12,BDL,78,*,78,SATISFACTORY
02052017,BDL,BDL,124,*,124,MODERATELY POLLUTED
04052017,BDL,BDL,65,*,65,SATISFACTORY
09052017,BDL,BDL,66,*,66,SATISFACTORY
11052017,BDL,BDL,58,*,58,SATISFACTORY
17052017,10,BDL,66,*,66,SATISFACTORY
19052017,13,BDL,65,*,65,SATISFACTORY
24052017,BDL,BDL,59,*,59,SATISFACTORY
26052017,14,10,53,*,53,SATISFACTORY
31052017,*,*,*,*,*,*
02062017,BDL,7.0,33.0,*,33.0,GOOD
06062017,13.0,BDL,37.0,*,37.0,GOOD
08062017,*,*,*,*,*,*
13062017,13.0,5.0,75.0,*,75.0,SATISFACTORY
15062017,BDL,BDL,27.0,*,27.0,GOOD
20062017,BDL,14.0,25.0,*,25.0,GOOD
22062017,14.0,11.0,20.0,*,20.0,GOOD
27062017,BDL,BDL,15.0,*,15.0,GOOD
29062017,BDL,28.0,75.0,*,75.0,SATISFACTORY
04072017,BDL,BDL,32.0,*,32.0,GOOD
06072017,BDL,BDL,29.0,*,29.0,GOOD
11072017,15.0,BDL,19.0,*,19.0,GOOD
13072017,13.0,BDL,13.0,*,16.3,GOOD
18072017,*,*,*,*,*,*
20072017,BDL,BDL,28.0,*,28.0,GOOD
25072017,BDL,BDL,31.0,*,31.0,GOOD
27072017,*,*,*,*,*,*
01082017,13.0,BDL,34.0,*,34.0,GOOD
08082017,8.0,10.0,42.0,*,42.0,GOOD
10082017,11.0,BDL,5.0,*,14.0,GOOD
16082017,9.0,14.0,47.0,*,47.0,GOOD
18082017,27.0,10.0,43.0,*,43.0,GOOD
21082017,22.0,9.0,40.0,*,40.0,GOOD
23082017,10.0,BDL,51.0,*,51.0,SATISFACTORY
29082017,BDL,BDL,32.0,*,32.0,GOOD
31082017,BDL,23.0,77.0,*,77.0,SATISFACTORY
05092017,32.0,BDL,68.0,*,68.0,SATISFACTORY
07092017,52.0,BDL,37.0,*,65.0,SATISFACTORY
12092017,11.0,BDL,38.0,*,38.0,GOOD
14092017,10.0,BDL,35.0,*,35.0,GOOD
19092017,7.0,15.0,8.0,*,19.0,GOOD
21092017,11.0,BDL,33.0,*,33.0,GOOD
26092017,10.0,BDL,51.0,*,51.0,SATISFACTORY
28092017,9.0,BDL,37.0,*,37.0,GOOD
03102017,4.0,12.0,49.6,*,50.0,GOOD
05102017,BDL,BDL,61.7,*,62.0,Satisfactory
10102017,BDL,BDL,30.4,*,30.0,GOOD
12102017,BDL,BDL,42.0,*,42.0,GOOD
16102017,BDL,BDL,26.9,*,27.0,GOOD
19102017,BDL,BDL,88.3,*,88.0,Satisfactory
24102017,BDL,BDL,72.9,*,73.0,Satisfactory
26102017,BDL,BDL,49.6,*,50.0,GOOD
31102017,*,*,*,*,*,*
02112017,BDL,BDL,223.0,*,182.0,MODERATELY POLLUTED
