SAMPLING DATE,SO2 µg/m3,NO2 µg/m3,PM10 µg/m3,PM2.5 µg/m3,O3 µg/m3,Pb µg/m3,CO µg/m3,AQI,AQI REMARKS
2017-04-04,7.4,15.6,60.3,19.1,2.37,<0.5,<0.01,60.0,SATISFACTORY
2017-04-06,6.6,16.1,57.5,18.1,<0.5,<0.5,<0.01,58.0,SATISFACTORY
2017-04-11,7.9,15.8,62.9,19.8,<0.5,<0.5,<0.01,63.0,SATISFACTORY
2017-04-14,6.8,15.5,83.6,26.2,2.61,<0.5,<0.01,84.0,SATISFACTORY
2017-04-18,7.0,16.2,55.4,18.0,<0.5,<0.5,<0.01,57.0,SATISFACTORY
2017-04-20,6.5,15.7,51.6,16.7,2.11,<0.5,<0.01,57.0,SATISFACTORY
2017-04-25,6.8,16.1,65.7,20.6,2.09,<0.5,<0.01,66.0,SATISFACTORY
2017-04-27,6.9,16.0,59.2,18.9,2.63,<0.5,<0.01,59.0,SATISFACTORY
2017-05-04,7.8,13.6,59.2,19.0,1.92,<0.5,<0.01,59.0,SATISFACTORY
2017-05-06,6.4,11.9,60.9,19.3,<0.5,<0.5,<0.01,61.0,SATISFACTORY
2017-05-09,7.9,13.2,58.3,18.2,<0.5,<0.5,<0.01,58.0,SATISFACTORY
2017-05-11,7.1,14.2,61.5,19.2,2.63,<0.5,<0.01,62.0,SATISFACTORY
2017-05-16,7.5,9.5,78.3,24.5,<0.5,<0.5,<0.01,78.0,SATISFACTORY
2017-05-19,6.7,16.1,40.6,12.9,2.42,<0.5,<0.01,57.0,SATISFACTORY
2017-05-23,6.4,14.0,42.2,13.4,1.99,<0.5,<0.01,57.0,SATISFACTORY
2017-05-25,6.5,11.7,37.5,12.5,2.38,<0.5,<0.01,57.0,SATISFACTORY
2017-05-30,7.3,11.6,46.5,14.9,<0.5,<0.5,<0.01,57.0,SATISFACTORY
2017-06-01,5.5,10.2,29.1,9.3,1.9, -,<0.01,29.0,GOOD
2017-06-06,6.0,9.8,42.2,13.2,<0.5, -,<0.01,42.0,GOOD
2017-06-08,5.4,10.4,28.2,9.5,<0.5, -,<0.01,28.0,GOOD
2017-06-13,6.0,8.7,25.2,8.0,2.6, -,<0.01,25.0,GOOD
2017-06-15,4.9,7.9,37.9,11.9,<0.5, -,<0.01,38.0,GOOD
2017-06-20,5.9,8.5,24.9,8.1,1.9, -,<0.01,25.0,GOOD
2017-06-22,6.5,10.1,24.8,8.0,2.1, -,<0.01,25.0,GOOD
2017-06-27,5.5,10.4,42.3,13.3,0.7, -,<0.01,42.0,GOOD
